Date : 2025-11-22 18:16:08
Directory : f:\coding\plexichat
Total : 562 files,  178644 codes, 21215 comments, 31522 blanks, all 231381 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| src\plexichat\interfaces\web\templates\docs                                                              |          3 |      2,044 |         40 |        277 |      2,361 |
| src\plexichat\interfaces\web\templates\errors                                                            |          4 |        933 |          0 |        124 |      1,057 |
| src\plexichat\interfaces\web\templates\plugins                                                           |          1 |        500 |          3 |         90 |        593 |
| src\plexichat\interfaces\web\templates\setup                                                             |          4 |        920 |          0 |        146 |      1,066 |
| src\plexichat\interfaces\web\templates\simplified                                                        |          2 |        869 |         11 |        125 |      1,005 |
| src\plexichat\interfaces\web\templates\testing                                                           |          1 |        599 |         14 |         89 |        702 |
| src\plexichat\interfaces\websocket                                                                       |          1 |        102 |         41 |         49 |        192 |
| src\plexichat\plugins                                                                                    |          2 |         26 |         11 |         15 |         52 |
| src\plexichat\plugins\echo                                                                               |          2 |         26 |         11 |         15 |         52 |
| src\plexichat\shared                                                                                     |          5 |        769 |        179 |        274 |      1,222 |
+----------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| filename                                                                                                 | language         | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
| f:\coding\plexichat\.agent.md                                                                            | Markdown         |          0 |          0 |          1 |          1 |
| f:\coding\plexichat\.github\dependabot.yml                                                               | YAML             |         18 |          3 |          2 |         23 |
| f:\coding\plexichat\.github\workflows\ci.yml                                                             | YAML             |        105 |          1 |          5 |        111 |
| f:\coding\plexichat\.github\workflows\docker.yml                                                         | YAML             |         85 |          0 |         17 |        102 |
| f:\coding\plexichat\.github\workflows\docs.yml                                                           | YAML             |        297 |         16 |         46 |        359 |
| f:\coding\plexichat\.pre-commit-config.yaml                                                              | YAML             |         25 |          0 |          1 |         26 |
| f:\coding\plexichat\Makefile                                                                             | Makefile         |        360 |         47 |         39 |        446 |
| f:\coding\plexichat\config.yaml                                                                          | YAML             |         18 |          0 |          4 |         22 |
| f:\coding\plexichat\config\plexichat.yaml                                                                | YAML             |         50 |          0 |          9 |         59 |
| f:\coding\plexichat\desktop.ini                                                                          | Ini              |          4 |          0 |          1 |          5 |
| f:\coding\plexichat\htmlcov\index.html                                                                   | HTML             |         23 |          0 |          1 |         24 |
| f:\coding\plexichat\htmlcov\mypy-html.css                                                                | PostCSS          |         70 |         10 |         25 |        105 |
| f:\coding\plexichat\package-lock.json                                                                    | JSON             |         34 |          0 |          1 |         35 |
| f:\coding\plexichat\package.json                                                                         | JSON             |          5 |          0 |          1 |          6 |
| f:\coding\plexichat\plugins\advanced_analytics\plugin.json                                               | JSON             |        142 |          0 |          0 |        142 |
| f:\coding\plexichat\plugins\advanced_antivirus\__init__.py                                               | Python           |         18 |         12 |          5 |         35 |
| f:\coding\plexichat\plugins\advanced_antivirus\comprehensive_antivirus_manager.py                        | Python           |        274 |         60 |         49 |        383 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\__init__.py                                          | Python           |        130 |         14 |         32 |        176 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\antivirus_engine.py                                  | Python           |        377 |         73 |         72 |        522 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\behavioral_analyzer.py                               | Python           |        136 |         32 |         22 |        190 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\filename_analyzer.py                                 | Python           |        254 |         50 |         49 |        353 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\hash_scanner.py                                      | Python           |        167 |         28 |         26 |        221 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\link_scanner.py                                      | Python           |        197 |         31 |         27 |        255 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\message_scanner.py                                   | Python           |         98 |         24 |         16 |        138 |
| f:\coding\plexichat\plugins\advanced_antivirus\core\threat_intelligence.py                               | Python           |        133 |         33 |         43 |        209 |
| f:\coding\plexichat\plugins\advanced_antivirus\main.py                                                   | Python           |        129 |         51 |         26 |        206 |
| f:\coding\plexichat\plugins\advanced_antivirus\plugin.json                                               | JSON             |         15 |          0 |          0 |         15 |
| f:\coding\plexichat\plugins\ai_providers\main.py                                                         | Python           |        247 |         37 |         73 |        357 |
| f:\coding\plexichat\plugins\ai_providers\plugin.json                                                     | JSON             |         97 |          0 |          1 |         98 |
| f:\coding\plexichat\plugins\ai_providers\providers\__init__.py                                           | Python           |         53 |          9 |         13 |         75 |
| f:\coding\plexichat\plugins\ai_providers\providers\bitnet.py                                             | Python           |        160 |         32 |         46 |        238 |
| f:\coding\plexichat\plugins\ai_providers\providers\huggingface.py                                        | Python           |        157 |         28 |         42 |        227 |
| f:\coding\plexichat\plugins\ai_providers\providers\llama.py                                              | Python           |        135 |         26 |         36 |        197 |
| f:\coding\plexichat\plugins\ai_providers\requirements.txt                                                | pip requirements |          6 |          0 |          1 |          7 |
| f:\coding\plexichat\plugins\ai_providers\tests\suite.py                                                  | Python           |        353 |         33 |         75 |        461 |
| f:\coding\plexichat\plugins\ai_providers\webui\panel.py                                                  | Python           |        364 |         24 |         40 |        428 |
| f:\coding\plexichat\plugins\analytics_dashboard\plugin.json                                              | JSON             |        129 |          0 |          1 |        130 |
| f:\coding\plexichat\plugins\api_integration_layer\main.py                                                | Python           |        608 |        113 |        146 |        867 |
| f:\coding\plexichat\plugins\api_integration_layer\plugin.json                                            | JSON             |        186 |          0 |          1 |        187 |
| f:\coding\plexichat\plugins\api_integration_layer\requirements.txt                                       | pip requirements |         16 |          0 |          1 |         17 |
| f:\coding\plexichat\plugins\api_tester\main.py                                                           | Python           |      1,244 |        144 |        292 |      1,680 |
| f:\coding\plexichat\plugins\api_tester\plugin.json                                                       | JSON             |         83 |          0 |          1 |         84 |
| f:\coding\plexichat\plugins\api_tester\requirements.txt                                                  | pip requirements |         13 |          0 |          1 |         14 |
| f:\coding\plexichat\plugins\code_analyzer\main.py                                                        | Python           |        480 |         81 |        129 |        690 |
| f:\coding\plexichat\plugins\code_analyzer\plugin.json                                                    | JSON             |         88 |          0 |          1 |         89 |
| f:\coding\plexichat\plugins\code_analyzer\requirements.txt                                               | pip requirements |         15 |          0 |          1 |         16 |
| f:\coding\plexichat\plugins\comprehensive_api_test\main.py                                               | Python           |        434 |         85 |        104 |        623 |
| f:\coding\plexichat\plugins\comprehensive_api_test\plugin.json                                           | JSON             |         26 |          0 |          1 |         27 |
| f:\coding\plexichat\plugins\dark_theme_pro\plugin.json                                                   | JSON             |        188 |          0 |          0 |        188 |
| f:\coding\plexichat\plugins\data_visualizer\main.py                                                      | Python           |        381 |         67 |         95 |        543 |
| f:\coding\plexichat\plugins\data_visualizer\plugin.json                                                  | JSON             |         84 |          0 |          1 |         85 |
| f:\coding\plexichat\plugins\data_visualizer\requirements.txt                                             | pip requirements |         16 |          0 |          1 |         17 |
| f:\coding\plexichat\plugins\dev_tools\main.py                                                            | Python           |        624 |         72 |        132 |        828 |
| f:\coding\plexichat\plugins\dev_tools\plugin.json                                                        | JSON             |        101 |          0 |          1 |        102 |
| f:\coding\plexichat\plugins\dev_tools\requirements.txt                                                   | pip requirements |         11 |          0 |          1 |         12 |
| f:\coding\plexichat\plugins\echo\main.py                                                                 | Python           |        296 |         35 |         60 |        391 |
| f:\coding\plexichat\plugins\echo\plugin.json                                                             | JSON             |         73 |          0 |          0 |         73 |
| f:\coding\plexichat\plugins\echo\requirements.txt                                                        | pip requirements |         11 |          0 |          1 |         12 |
| f:\coding\plexichat\plugins\file_manager\main.py                                                         | Python           |        448 |         75 |        100 |        623 |
| f:\coding\plexichat\plugins\file_manager\plugin.json                                                     | JSON             |         80 |          0 |          1 |         81 |
| f:\coding\plexichat\plugins\file_manager\requirements.txt                                                | pip requirements |         15 |          0 |          1 |         16 |
| f:\coding\plexichat\plugins\file_manager\tests\test_compression.py                                       | Python           |        231 |         39 |         58 |        328 |
| f:\coding\plexichat\plugins\file_manager\ui\static\file-manager.html                                     | HTML             |        369 |          8 |         36 |        413 |
| f:\coding\plexichat\plugins\hello_world\main.py                                                          | Python           |        214 |         26 |         38 |        278 |
| f:\coding\plexichat\plugins\hello_world\plugin.json                                                      | JSON             |         62 |          0 |          0 |         62 |
| f:\coding\plexichat\plugins\hello_world\requirements.txt                                                 | pip requirements |         11 |          0 |          1 |         12 |
| f:\coding\plexichat\plugins\network_scanner\main.py                                                      | Python           |        534 |         86 |        126 |        746 |
| f:\coding\plexichat\plugins\network_scanner\plugin.json                                                  | JSON             |         88 |          0 |          1 |         89 |
| f:\coding\plexichat\plugins\network_scanner\requirements.txt                                             | pip requirements |         15 |          0 |          1 |         16 |
| f:\coding\plexichat\plugins\notification_center\plugin.json                                              | JSON             |        175 |          0 |          0 |        175 |
| f:\coding\plexichat\plugins\performance_monitor\main.py                                                  | Python           |        273 |         38 |         55 |        366 |
| f:\coding\plexichat\plugins\performance_monitor\plugin.json                                              | JSON             |         76 |          0 |          1 |         77 |
| f:\coding\plexichat\plugins\performance_monitor\requirements.txt                                         | pip requirements |         11 |          0 |          1 |         12 |
| f:\coding\plexichat\plugins\quantum_backup\plugin.json                                                   | JSON             |        179 |          0 |          0 |        179 |
| f:\coding\plexichat\plugins\security_toolkit\main.py                                                     | Python           |        240 |         43 |         73 |        356 |
| f:\coding\plexichat\plugins\security_toolkit\plugin.json                                                 | JSON             |         78 |          0 |          1 |         79 |
| f:\coding\plexichat\plugins\security_toolkit\requirements.txt                                            | pip requirements |         15 |          0 |          1 |         16 |
| f:\coding\plexichat\plugins\system_manager\plugin.json                                                   | JSON             |        142 |          0 |          1 |        143 |
| f:\coding\plexichat\plugins\system_monitoring\plugin.json                                                | JSON             |        172 |          0 |          0 |        172 |
| f:\coding\plexichat\plugins\user_manager\plugin.json                                                     | JSON             |        138 |          0 |          1 |        139 |
