Date : 2025-11-22 18:16:08
Directory : f:\coding\plexichat
Total : 562 files,  178644 codes, 21215 comments, 31522 blanks, all 231381 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| f:\coding\plexichat\src\plexichat\interfaces\api\main_api.py                                             | Python           |        373 |         81 |        122 |        576 |
| f:\coding\plexichat\src\plexichat\interfaces\api\routers\file_sharing_router.py                          | Python           |        306 |         49 |         79 |        434 |
| f:\coding\plexichat\src\plexichat\interfaces\api\routers\notification_router.py                          | Python           |        362 |         48 |         76 |        486 |
| f:\coding\plexichat\src\plexichat\interfaces\api\routers\performance_router.py                           | Python           |        361 |         30 |         59 |        450 |
| f:\coding\plexichat\src\plexichat\interfaces\api\routers\status_router.py                                | Python           |        214 |         26 |         54 |        294 |
| f:\coding\plexichat\src\plexichat\interfaces\api\schemas\user.py                                         | Python           |         47 |          4 |         20 |         71 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1.py                                                   | Python           |        223 |         46 |         84 |        353 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\__init__.py                                          | Python           |         36 |         21 |         12 |         69 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\admin.py                                             | Python           |        243 |         40 |         60 |        343 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\auth.py                                              | Python           |        214 |         41 |         55 |        310 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\backups.py                                           | Python           |        272 |         83 |         68 |        423 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\client_settings.py                                   | Python           |        669 |         84 |         92 |        845 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\export.py                                            | Python           |        186 |         32 |         38 |        256 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\files.py                                             | Python           |        358 |         42 |         53 |        453 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\groups.py                                            | Python           |        101 |         12 |         38 |        151 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\keyboard.py                                          | Python           |        225 |         44 |         61 |        330 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\messages.py                                          | Python           |        187 |         29 |         69 |        285 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\notifications.py                                     | Python           |        362 |         48 |         76 |        486 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\rate_limits.py                                       | Python           |         69 |          5 |         37 |        111 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\realtime.py                                          | Python           |         52 |          8 |         19 |         79 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\router.py                                            | Python           |        313 |         50 |         54 |        417 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\search.py                                            | Python           |        177 |         20 |         46 |        243 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\shards.py                                            | Python           |        688 |        124 |        139 |        951 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\system.py                                            | Python           |        253 |         33 |         50 |        336 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\threads.py                                           | Python           |        188 |         12 |         56 |        256 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\typing.py                                            | Python           |        196 |         33 |         70 |        299 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\user_settings.py                                     | Python           |         34 |          7 |         21 |         62 |
| f:\coding\plexichat\src\plexichat\interfaces\api\v1\users.py                                             | Python           |        123 |         17 |         34 |        174 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\__init__.py                                             | Python           |         11 |          4 |          8 |         23 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\advanced_cli.py                                         | Python           |        316 |         37 |         54 |        407 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\cli_default.py                                          | Python           |        519 |         33 |         45 |        597 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\cli_manager.py                                          | Python           |         88 |         30 |         24 |        142 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\admin.py                                       | Python           |         63 |          6 |         26 |         95 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\ai.py                                          | Python           |         71 |          6 |         36 |        113 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\antivirus.py                                   | Python           |         79 |          6 |         31 |        116 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\automation.py                                  | Python           |         78 |          8 |         26 |        112 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\backup.py                                      | Python           |        582 |         40 |         58 |        680 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\cluster.py                                     | Python           |        415 |         47 |         59 |        521 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\database.py                                    | Python           |         62 |          6 |         25 |         93 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\logs.py                                        | Python           |         80 |          8 |         28 |        116 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\plugins.py                                     | Python           |        623 |         78 |         72 |        773 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\security.py                                    | Python           |        892 |         84 |         92 |      1,068 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\settings.py                                    | Python           |        780 |         63 |        175 |      1,018 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\system.py                                      | Python           |         54 |          8 |         20 |         82 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\commands\updates.py                                     | Python           |         98 |         11 |         35 |        144 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\console_manager.py                                      | Python           |        214 |         16 |         36 |        266 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\interactive_dashboard.py                                | Python           |        132 |          9 |         32 |        173 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\main_cli.py                                             | Python           |        113 |         11 |         24 |        148 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\ultimate\cli_coordinator.py                             | Python           |        146 |         18 |         28 |        192 |
| f:\coding\plexichat\src\plexichat\interfaces\cli\ultimate\main.py                                        | Python           |         82 |         13 |         28 |        123 |
| f:\coding\plexichat\src\plexichat\interfaces\web\__init__.py                                             | Python           |         47 |         13 |         14 |         74 |
| f:\coding\plexichat\src\plexichat\interfaces\web\components\__init__.py                                  | Python           |          0 |          0 |          2 |          2 |
| f:\coding\plexichat\src\plexichat\interfaces\web\components\advanced_database_wizard.py                  | Python           |        367 |         41 |         53 |        461 |
| f:\coding\plexichat\src\plexichat\interfaces\web\components\thread_component.py                          | Python           |        662 |         47 |         98 |        807 |
| f:\coding\plexichat\src\plexichat\interfaces\web\core\advanced_router.py                                 | Python           |        372 |         69 |         86 |        527 |
| f:\coding\plexichat\src\plexichat\interfaces\web\core\config_manager.py                                  | Python           |        335 |         61 |         85 |        481 |
| f:\coding\plexichat\src\plexichat\interfaces\web\core\mfa_manager.py                                     | Python           |        492 |         79 |         96 |        667 |
| f:\coding\plexichat\src\plexichat\interfaces\web\main.py                                                 | Python           |         42 |          9 |         16 |         67 |
| f:\coding\plexichat\src\plexichat\interfaces\web\middleware\__init__.py                                  | Python           |          8 |         17 |          7 |         32 |
| f:\coding\plexichat\src\plexichat\interfaces\web\middleware\comprehensive_security_middleware.py         | Python           |        594 |         91 |        113 |        798 |
| f:\coding\plexichat\src\plexichat\interfaces\web\middleware\security_middleware.py                       | Python           |        869 |         89 |         50 |      1,008 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\__init__.py                                     | Python           |          1 |          9 |          2 |         12 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\admin.py                                        | Python           |      1,399 |        135 |        189 |      1,723 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\backup_management.py                            | Python           |      1,050 |         42 |         45 |      1,137 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\cache.py                                        | Python           |        338 |        102 |        101 |        541 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\cli.py                                          | Python           |         59 |         12 |         18 |         89 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\cluster.py                                      | Python           |      1,023 |        102 |        111 |      1,236 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\config_management.py                            | Python           |        275 |         23 |         19 |        317 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\database_setup.py                               | Python           |        250 |         26 |         43 |        319 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\file_management.py                              | Python           |        197 |         21 |         52 |        270 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\files.py                                        | Python           |        461 |         92 |         93 |        646 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\help.py                                         | Python           |        308 |        143 |         26 |        477 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\login.py                                        | Python           |        349 |         51 |         57 |        457 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\logs.py                                         | Python           |         68 |          0 |         11 |         79 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\messages.py                                     | Python           |        332 |         35 |         72 |        439 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\messaging_websocket_router.py                   | Python           |        269 |         83 |         55 |        407 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\plugins.py                                      | Python           |        752 |         78 |        111 |        941 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\queue.py                                        | Python           |        363 |         93 |         96 |        552 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\rate_limiting_admin.py                          | Python           |        385 |         33 |         32 |        450 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\secure_api_example.py                           | Python           |        369 |         41 |         79 |        489 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\security_management.py                          | Python           |        897 |        101 |        191 |      1,189 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\setup.py                                        | Python           |        727 |         65 |        143 |        935 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\status.py                                       | Python           |        193 |         35 |         44 |        272 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\system.py                                       | Python           |        367 |         49 |         70 |        486 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\ultimate_webui.py                               | Python           |        625 |         31 |         61 |        717 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\updates.py                                      | Python           |        330 |         56 |         76 |        462 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\users.py                                        | Python           |        453 |         50 |         90 |        593 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\web.py                                          | Python           |        314 |         52 |         29 |        395 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\webhooks.py                                     | Python           |        491 |         53 |         84 |        628 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\websocket.py                                    | Python           |        376 |         72 |         81 |        529 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routers\webui.py                                        | Python           |        379 |         14 |         17 |        410 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\__init__.py                                      | Python           |          9 |         13 |          4 |         26 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\admin\ai_features_routes.py                      | Python           |        448 |         58 |         52 |        558 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\admin\zero_knowledge_security_routes.py          | Python           |        184 |         14 |         62 |        260 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\collaboration\__init__.py                        | Python           |          0 |          8 |          2 |         10 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\collaboration\chat.py                            | Python           |         90 |         12 |         19 |        121 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\collaboration\whiteboard.py                      | Python           |          5 |          6 |          4 |         15 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\collaboration_routes.py                          | Python           |         23 |         14 |         14 |         51 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\dashboard_routes.py                              | Python           |        108 |         24 |         32 |        164 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\debug.py                                         | Python           |        368 |         48 |        101 |        517 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\performance_routes.py                            | Python           |        238 |         36 |         56 |        330 |
| f:\coding\plexichat\src\plexichat\interfaces\web\routes\plugin_tests.py                                  | Python           |        195 |        140 |         79 |        414 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\__init__.py                                     | Python           |          1 |          9 |          2 |         12 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\auth.py                                         | Python           |         43 |         10 |         23 |         76 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\auth_optimized.py                               | Python           |         45 |         15 |         23 |         83 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\error.py                                        | Python           |         92 |         16 |         39 |        147 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\files.py                                        | Python           |        157 |         17 |         46 |        220 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\files_optimized.py                              | Python           |        157 |         25 |         46 |        228 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\message.py                                      | Python           |        108 |         16 |         43 |        167 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\message_optimized.py                            | Python           |        108 |         16 |         43 |        167 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\status.py                                       | Python           |         27 |          3 |         10 |         40 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\user.py                                         | Python           |         90 |         13 |         30 |        133 |
| f:\coding\plexichat\src\plexichat\interfaces\web\schemas\user_optimized.py                               | Python           |         72 |         13 |         30 |        115 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\css\advanced-dashboard.css                       | PostCSS          |        326 |         20 |         62 |        408 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\css\api-docs.css                                 | PostCSS          |        667 |         26 |        116 |        809 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\css\chat.css                                     | PostCSS          |        535 |         12 |        106 |        653 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\css\components.css                               | PostCSS          |        318 |         11 |         51 |        380 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\css\main.css                                     | PostCSS          |        479 |         25 |         84 |        588 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\css\modern-ui.css                                | PostCSS          |        458 |         22 |         95 |        575 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\css\themes.css                                   | PostCSS          |        202 |         24 |         34 |        260 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\advanced-config-editor.js                     | JavaScript       |        375 |         13 |         34 |        422 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\advanced-dashboard.js                         | JavaScript       |        405 |         24 |         77 |        506 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\advanced-ui.js                                | JavaScript       |        298 |         31 |         46 |        375 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\api-docs.js                                   | JavaScript       |        663 |         15 |         71 |        749 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\chat.js                                       | JavaScript       |        207 |         18 |         40 |        265 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\components.js                                 | JavaScript       |        641 |         16 |         22 |        679 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\main.js                                       | JavaScript       |        458 |         38 |         76 |        572 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\shortcuts.js                                  | JavaScript       |        372 |         24 |         64 |        460 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\typing-indicator.js                           | JavaScript       |        209 |         15 |         44 |        268 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\web-cli.js                                    | JavaScript       |        401 |         30 |         84 |        515 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\js\websocket.js                                  | JavaScript       |        181 |         20 |         41 |        242 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\manifest.json                                    | JSON             |        183 |          0 |         13 |        196 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\plugin-manager\config-template.html              | HTML             |         39 |          1 |          9 |         49 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\plugin-manager\marketplace.html                  | HTML             |         37 |          1 |          6 |         44 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\plugin-manager\plugin-manager.css                | PostCSS          |        319 |          2 |         60 |        381 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\plugin-manager\plugin-manager.html               | HTML             |         99 |          4 |          8 |        111 |
| f:\coding\plexichat\src\plexichat\interfaces\web\static\plugin-manager\plugin-manager.js                 | JavaScript       |        368 |         11 |         61 |        440 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\advanced_config_editor.html             | HTML             |        221 |         14 |         16 |        251 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\ai_features_management.html             | HTML             |      1,092 |         15 |        129 |      1,236 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\backup.html                             | HTML             |        869 |         14 |        125 |      1,008 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\backup_management.html                  | HTML             |        433 |         15 |         35 |        483 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\backup_manager.html                     | HTML             |        770 |         15 |        112 |        897 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\base.html                               | HTML             |        182 |          7 |         14 |        203 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\clustering_management.html              | HTML             |      1,059 |         21 |         93 |      1,173 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\communication_management.html           | HTML             |        655 |          8 |         81 |        744 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\config.html                             | HTML             |        638 |         11 |         92 |        741 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\config_editor.html                      | HTML             |        660 |         14 |        104 |        778 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\config_management.html                  | HTML             |        444 |          7 |         58 |        509 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\configuration.html                      | HTML             |        997 |         10 |        127 |      1,134 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\console.html                            | HTML             |        436 |          3 |         58 |        497 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\dashboard.html                          | HTML             |        929 |         12 |        110 |      1,051 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\file_editor.html                        | HTML             |        786 |          9 |        126 |        921 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\filters.html                            | HTML             |        592 |         15 |         71 |        678 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\index.html                              | HTML             |        857 |         13 |         86 |        956 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\logs.html                               | HTML             |        438 |          5 |         56 |        499 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\performance_dashboard.html              | HTML             |        665 |          5 |         96 |        766 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\plugin_marketplace.html                 | HTML             |        551 |         18 |         65 |        634 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\plugin_security.html                    | HTML             |        813 |         11 |         88 |        912 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\security.html                           | HTML             |      1,074 |         11 |        167 |      1,252 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\security_dashboard.html                 | HTML             |        940 |         15 |         83 |      1,038 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\setup_tutorials.html                    | HTML             |        714 |          8 |         91 |        813 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\setup_wizard.html                       | HTML             |      1,006 |         13 |        156 |      1,175 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\suggestions.html                        | HTML             |        780 |         13 |        108 |        901 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\system.html                             | HTML             |        404 |          9 |         24 |        437 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\updates.html                            | HTML             |        271 |          5 |         43 |        319 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\users.html                              | HTML             |        381 |          5 |         33 |        419 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin\zero_knowledge_security_management.html | HTML             |        964 |         13 |         64 |      1,041 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\admin_advanced.html                           | HTML             |      1,104 |         23 |        102 |      1,229 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\advanced_dashboard.html                       | HTML             |        447 |         11 |         60 |        518 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\api_docs.html                                 | HTML             |        309 |         14 |         43 |        366 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\auth\admin_login.html                         | HTML             |        357 |          3 |         55 |        415 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\auth\login.html                               | HTML             |        569 |         10 |         89 |        668 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\base.html                                     | HTML             |        249 |         21 |         22 |        292 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\calling_interface.html                        | HTML             |        549 |          1 |         99 |        649 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\chat.html                                     | HTML             |         68 |          8 |         11 |         87 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\cli.html                                      | HTML             |        466 |          0 |         66 |        532 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\custom_fields_manager.html                    | HTML             |        369 |         13 |         55 |        437 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\dashboard\index.html                          | HTML             |        311 |          9 |         17 |        337 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\debug_dashboard.html                          | HTML             |        504 |         10 |         56 |        570 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\docs\advanced_docs.html                       | HTML             |        919 |         21 |        107 |      1,047 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\docs\index.html                               | HTML             |        391 |          9 |         50 |        450 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\docs\interactive.html                         | HTML             |        734 |         10 |        120 |        864 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\docs_advanced.html                            | HTML             |        550 |         12 |         79 |        641 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\errors\403.html                               | HTML             |        183 |          0 |         23 |        206 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\errors\404.html                               | HTML             |        300 |          0 |         39 |        339 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\errors\429.html                               | HTML             |        231 |          0 |         34 |        265 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\errors\500.html                               | HTML             |        219 |          0 |         28 |        247 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\help.html                                     | HTML             |        642 |         15 |         92 |        749 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\index.html                                    | HTML             |        525 |         13 |         45 |        583 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\login.html                                    | HTML             |        250 |          0 |         37 |        287 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\management.html                               | HTML             |      1,058 |         20 |         89 |      1,167 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\moderation_dashboard.html                     | HTML             |        953 |         22 |        133 |      1,108 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\plugin_tests_dashboard.html                   | HTML             |        380 |          6 |         34 |        420 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\plugins\marketplace.html                      | HTML             |        500 |          3 |         90 |        593 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\settings_dashboard.html                       | HTML             |        524 |          6 |         67 |        597 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\setup\admin.html                              | HTML             |        273 |          0 |         49 |        322 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\setup\complete.html                           | HTML             |        248 |          0 |         39 |        287 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\setup\database.html                           | HTML             |        239 |          0 |         33 |        272 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\setup\index.html                              | HTML             |        160 |          0 |         25 |        185 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\simplified\admin.html                         | HTML             |        457 |          7 |         62 |        526 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\simplified\dashboard.html                     | HTML             |        412 |          4 |         63 |        479 |
| f:\coding\plexichat\src\plexichat\interfaces\web\templates\testing\dashboard.html                        | HTML             |        599 |         14 |         89 |        702 |
| f:\coding\plexichat\src\plexichat\interfaces\websocket\websocket_manager.py                              | Python           |        102 |         41 |         49 |        192 |
| f:\coding\plexichat\src\plexichat\main.py                                                                | Python           |        767 |        148 |        121 |      1,036 |
| f:\coding\plexichat\src\plexichat\plugins\echo\__init__.py                                               | Python           |         14 |          5 |          8 |         27 |
| f:\coding\plexichat\src\plexichat\plugins\echo\main.py                                                   | Python           |         12 |          6 |          7 |         25 |
| f:\coding\plexichat\src\plexichat\plugins_internal.py                                                    | Python           |        217 |        161 |         69 |        447 |
| f:\coding\plexichat\src\plexichat\plugins_internal.pyi                                                   | Python           |         51 |         10 |         12 |         73 |
| f:\coding\plexichat\src\plexichat\shared\__init__.py                                                     | Python           |         12 |         28 |          9 |         49 |
| f:\coding\plexichat\src\plexichat\shared\exceptions.py                                                   | Python           |         69 |         18 |         44 |        131 |
| f:\coding\plexichat\src\plexichat\shared\models.py                                                       | Python           |        192 |         39 |         61 |        292 |
| f:\coding\plexichat\src\plexichat\shared\types.py                                                        | Python           |        217 |         62 |         87 |        366 |
| f:\coding\plexichat\src\plexichat\shared\validators.py                                                   | Python           |        279 |         32 |         73 |        384 |
| f:\coding\plexichat\src\plexichat\version.py                                                             | Python           |         12 |          4 |          5 |         21 |
| Total                                                                                                    |                  |    178,644 |     21,215 |     31,522 |    231,381 |
+----------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
